pairID,gold_label,ChatGPT_Explanation
3416050480.jpg#4r1n,neutral,contradiction
3416050480.jpg#4r1c,contradiction,contradiction
3416050480.jpg#4r1e,entailment,entailment
2267923837.jpg#2r1n,neutral,entailment
2267923837.jpg#2r1e,entailment,entailment
2267923837.jpg#2r1c,contradiction,contradiction
3691670743.jpg#0r1c,contradiction,contradiction
3691670743.jpg#0r1e,entailment,entailment
3691670743.jpg#0r1n,neutral,entailment
4804607632.jpg#0r1n,neutral,contradiction
4804607632.jpg#0r1c,contradiction,contradiction
4804607632.jpg#0r1e,neutral,contradiction
4705552913.jpg#4r1n,neutral,neutral
4705552913.jpg#4r1c,contradiction,contradiction
4705552913.jpg#4r1e,entailment,entailment
4804607632.jpg#2r1n,neutral,contradiction
4804607632.jpg#2r1c,contradiction,contradiction
4804607632.jpg#2r1e,entailment,entailment
4804607632.jpg#3r1e,entailment,entailment
4804607632.jpg#3r1c,contradiction,contradiction
4804607632.jpg#3r1n,neutral,contradiction
4850814517.jpg#1r1n,neutral,neutral
4850814517.jpg#1r1c,contradiction,contradiction
4850814517.jpg#1r1e,entailment,entailment
4705552913.jpg#0r1c,contradiction,contradiction
4705552913.jpg#0r1e,entailment,neutral
4705552913.jpg#0r1n,neutral,entailment
4705552913.jpg#3r1n,neutral,entailment
4705552913.jpg#3r1c,contradiction,contradiction
4705552913.jpg#3r1e,entailment,entailment
3637966641.jpg#1r1n,neutral,contradiction
3637966641.jpg#1r1e,entailment,entailment
3637966641.jpg#1r1c,contradiction,contradiction
3636329461.jpg#0r1c,contradiction,contradiction
3636329461.jpg#0r1n,neutral,entailment
3636329461.jpg#0r1e,entailment,entailment
4934873039.jpg#0r1c,contradiction,contradiction
4934873039.jpg#0r1e,entailment,entailment
4934873039.jpg#0r1n,neutral,entailment
2946464027.jpg#1r1n,neutral,entailment
2946464027.jpg#1r1e,entailment,entailment
2946464027.jpg#1r1c,contradiction,contradiction
4934873039.jpg#2r1n,neutral,contradiction
4934873039.jpg#2r1c,entailment,entailment
4934873039.jpg#2r1e,entailment,entailment
2946464027.jpg#3r1e,entailment,entailment
2946464027.jpg#3r1n,neutral,entailment
2946464027.jpg#3r1c,contradiction,contradiction
2946464027.jpg#4r1c,contradiction,contradiction
2946464027.jpg#4r1e,entailment,entailment
2946464027.jpg#4r1n,neutral,entailment
190083339.jpg#4r1c,contradiction,contradiction
190083339.jpg#4r1e,entailment,entailment
190083339.jpg#4r1n,neutral,entailment
4950996568.jpg#2r1c,contradiction,contradiction
4950996568.jpg#2r1n,neutral,contradiction
4950996568.jpg#2r1e,entailment,entailment
190083339.jpg#1r1n,neutral,contradiction
190083339.jpg#1r2c,contradiction,contradiction
190083339.jpg#1r3e,entailment,entailment
190083339.jpg#1r4e,entailment,entailment
190083339.jpg#1r5c,contradiction,contradiction
190083339.jpg#1r4n,neutral,neutral
190083339.jpg#1r5e,entailment,entailment
190083339.jpg#1r2n,neutral,entailment
190083339.jpg#1r3c,contradiction,contradiction
190083339.jpg#1r4c,contradiction,contradiction
190083339.jpg#1r2e,entailment,entailment
190083339.jpg#1r5n,neutral,entailment
190083339.jpg#1r1c,contradiction,contradiction
190083339.jpg#1r1e,entailment,neutral
190083339.jpg#1r3n,neutral,contradiction
190083339.jpg#0r5n,neutral,neutral
190083339.jpg#0r4c,contradiction,contradiction
190083339.jpg#0r5e,entailment,entailment
190083339.jpg#0r3n,neutral,contradiction
190083339.jpg#0r1c,contradiction,contradiction
190083339.jpg#0r3e,entailment,entailment
190083339.jpg#0r3c,contradiction,contradiction
190083339.jpg#0r2e,entailment,entailment
190083339.jpg#0r1n,neutral,contradiction
190083339.jpg#0r2n,neutral,entailment
190083339.jpg#0r2c,contradiction,contradiction
190083339.jpg#0r4e,entailment,entailment
190083339.jpg#0r1e,entailment,entailment
190083339.jpg#0r5c,contradiction,contradiction
190083339.jpg#0r4n,neutral,entailment
190083339.jpg#3r1c,contradiction,contradiction
190083339.jpg#3r1e,entailment,entailment
190083339.jpg#3r1n,neutral,contradiction
190083339.jpg#2r2c,contradiction,contradiction
190083339.jpg#2r4e,entailment,entailment
190083339.jpg#2r3c,contradiction,contradiction
190083339.jpg#2r5n,neutral,entailment
190083339.jpg#2r4c,contradiction,contradiction
190083339.jpg#2r3n,neutral,entailment
190083339.jpg#2r2e,entailment,contradiction
190083339.jpg#2r2n,neutral,contradiction
190083339.jpg#2r4n,neutral,contradiction
190083339.jpg#2r5e,entailment,entailment
